word,jyutping
啞巴喫黃蓮,aa2 baa1 hek3 wong4 lin4
啞巴喫黃連,aa2 baa1 hek3 wong4 lin4
啞巴喫黃連，有苦說不出,aa2 baa1 hek3 wong4 lin4 jau5 fu2 syut3 bat1 ceot1
啞仔食雲吞,aa2 zai2 sik6 wan4 tan1
啞仔食黃蓮,aa2 zai2 sik6 wong4 lin4
啞子食黃蓮,aa2 zi2 sik6 wong4 lin4
亞歐大陸腹地,aa3 au1 daai6 luk6 fuk1 dei6
亞歐大陸橋,aa3 au1 daai6 luk6 kiu4
阿巴拉契亞,aa3 baa1 laai1 kai3 aa3
阿壩藏族羌族自治州,aa3 baa3 zong6 zuk6 goeng1 zuk6 zi6 zi6 zau1
阿崩買火石,aa3 bang1 maai5 fo2 sek6
阿崩買火石：𠽤過先知,aa3 bang1 maai5 fo2 sek6 kek1 gwo3 sin1 zi1
阿崩咬狗虱,aa3 bang1 ngaau5 gau2 sat1
阿崩咬狗蝨,aa3 bang1 ngaau5 gau2 sat1
阿拔斯王朝,aa3 bat6 si1 wong4 ciu4
阿比西尼亞,aa3 bei2 sai1 nei4 aa3
阿比西尼亞官話,aa3 bei2 sai1 nei4 aa3 gun1 waa2
阿比西尼亞人,aa3 bei2 sai1 nei4 aa3 jan4
阿波羅計劃,aa3 bo1 lo4 gai3 waak6
阿布沙耶夫,aa3 bou3 saa1 je4 fu1
阿茨海默症,aa3 ci4 hoi2 mak6 zing3
阿塞拜疆人,aa3 coi3 baai3 goeng1 jan4
亞速爾羣島,aa3 cuk1 ji5 kwan4 dou2
阿蟲介紹嚟,aa3 cung4 gaai3 siu6 lai4
阿蟲介紹我嚟,aa3 cung4 gaai3 siu6 ngo5 lai4
亞得里亞海,aa3 dak1 lei5 aa3 hoi2
阿特蘭蒂斯,aa3 dak6 laan4 dai3 si1
亞的斯亞貝巴,aa3 dik1 si1 aa3 bui3 baa1
阿狄森氏病,aa3 dik6 sam1 si6 beng6
阿迪斯阿貝巴,aa3 dik6 si1 aa3 bui3 baa1
阿法爾沙漠,aa3 faat3 ji5 saa1 mok6
阿法羅密歐,aa3 faat3 lo4 mat6 au1
阿弗洛狄忒,aa3 fat1 lok6 dik6 tik1
阿佛洛狄忒,aa3 fat6 lok6 dik6 tik1
阿非利加洲,aa3 fei1 lei6 gaa1 zau1
亞符號模型,aa3 fu4 hou6 mou4 jing4
阿芙羅狄忒,aa3 fu4 lo4 dik6 tik1
阿芙樂爾號,aa3 fu4 lok6 ji5 hou6
阿伏伽德羅,aa3 fuk6 gaa1 dak1 lo4
阿伏伽德羅定律,aa3 fuk6 gaa1 dak1 lo4 ding6 leot6
阿伏伽德羅常數,aa3 fuk6 gaa1 dak1 lo4 soeng4 sou3
