1,諍言,zaang3 jin4
1,白粉友,baak6 fan2 jau2
,六星地產,
1,張皇,zoeng1 wong4
,巴依老爺,
,路易保羅,
1,市轄區,si5 hat6 keoi1
,廣州名綠,
,五金配件,
1,笞撻,ci1 taat3
,瓜嶺村委,
,良策醫療,
1,我食完,ngo5 sik6 jyun4
1,佯改,
1,止血帶,zi2 hyut3 daai2
,大康村委,
1,太耷溼喇,
,光啓,
1,呷呷,haap3 haap3
1,拗實,aau3 sat6
1,屙餲尿,o1 aat3 niu6
1,鵝毛大雪,ngo4 mou4 daai6 syut3
1,贔響,bei6 hoeng2
1,皈依者,gwai1 ji1 ze2
1,敷粉,fu1 fan2
1,瘋犬病,fung1 hyun2 beng6
,駿越汽配,
,伊凡世家,
1,印度豹,jan3 dou6 paau3
1,老視,lou5 si6
1,皮殼,pei4 hok3
,鎮龍路口,
,卓雅,
1,啱曬,
1,長勢喜人,
1,先訓,
,登富,
,紅勝坊,
,富瑋,
,龍洞校區,
1,鍘草,zaat3 cou2
,廣發茶,
1,眯埋,mei1 maai4
1,筆管麪,bat1 gun2 min6
,亞特雷敦,
,普康牙科,
1,廣州啊,
,安多縣,on1 do1 jyun6
1,分庫,
,匯興傢俱,
1,劇協,
,金城塗料,
1,引嫌,jan5 jim4
1,拎實,
1,現實結果,
1,乾燥機,gon1 cou3 gei1
,西吉縣,sai1 gat1 jyun6
1,放蕩不羈,fong3 dong6 bat1 gei1
1,肇事逃逸,siu6 si6 tou4 jat6
1,茶水錢,caa4 seoi2 cin4
1,五言律詩,ng5 jin4 leot6 si1
1,前清後欠,
,高點服飾,
1,試吃品,si3 hek3 ban2
1,無大無小,mou4 daai6 mou4 siu2
1,識唔使,
,沙田工業,
1,狗公山,
1,卜蔔脆,
1,開臺鑼鼓,hoi1 toi4 lo4 gu2
,欖元,
1,乜都搞掂,
,陸川縣,luk6 cyun1 jyun6
1,冇埞泊車,mou5 deng6 paak3 ce1
,江達,gong1 daat6
1,深涌灣,
1,迂磨,jyu1 mo4
,昌勝,
1,氨基葡糖,on1 gei1 pou4 tong4
,宏業五金,
,文儀閣,
1,得閒嚟坐,dak1 haan4 lai4 co5
1,安裝器,
,生活創庫,
,海上明珠,
,燕匯,
,仁孚特力,
1,心蕩神馳,sam1 dong6 san4 ci4
,金雞納圍,
1,你在深圳,
1,甾酮,zoi1 tung4
1,慈雲閣,
,布心二區,
,美之軒,
1,鮫人,gaau1 jan4
,鋒馳廣告,
,倒藪,dou2 sau2
,百合士多,
,爽當,song2 dong3
1,旬末,
1,紅樹灣,
1,逼債,bik1 zaai3
,鹽都區,jim4 dou1 keoi1
,明樂時尚,
,富康棋藝,
,馬朱羅,maa5 zyu1 lo4
,贛漁風,
,金冠月曆,
,方田冷氣,
,莎珂麗伶,
1,咬一啖,ngaau5 jat1 daam6
,全一電子,
1,扎染,zaat3 jim5
,忠和裏,
1,產褥熱,caan2 juk6 jit6
,巴特納,baa1 dak6 naap6
1,巴三覽四,baa1 saam1 laam5 sei3
,掃杆埔,
1,鬼魂失,gwai2 wan4 sat1
,可米茶飲,
1,普通燕鷗,pou2 tung1 jin3 au1
,晝順影音,
,水之顏,
,美瑞紡織,
,金湯布藝,
1,全權大使,cyun4 kyun4 daai6 si3
,汝城縣,jyu5 sing4 jyun6
1,五使驚架,
,爲食森林,
,響客比薩,
1,全表,
1,仵作佬,ng5 zok3 lou2
1*,吞金滅餸,
,旭耀鞋業,
1,恩眄,jan1 min5
,樂林小築,
1,拘押營,keoi1 aat3 jing4
,昇江美食,
,依斯卡,
,鬆日電器,
1,在地鐵口,
1,偏註,pin1 zyu3
1,再好不過,zoi3 hou2 bat1 gwo3
1,悖逆,bui6 jik6
,傑盛通訊,
1,蓽門圭竇,bat1 mun4 gwai1 dau6
1,內外有別,
,芙蓉美食,
1,捉包,
,祈福名都,
,蝦山,
1,新欠,
,旭達製衣,
,洛區,
,美萬佳,
1,無端生有,mou4 dyun1 sang1 jau5
,風采發藝,
1,吊帶褲,diu3 daai2 fu3
1,累垮,leoi6 kwaa1
