,山欖科,saan1 laam5 fo1
,禦膳,
1,晶光,zing1 gwong1
,瓦檐獅子,
,象州,zoeng6 zau1
,長榮海運,coeng4 wing4 hoi2 wan6
1*,有乜兩句,
1*,因加得減,jan1 gaa1 dak1 gaam2
1,粗製,cou1 zai3
,赫章,haak1 zoeng1
1,旗語,kei4 jyu5
,深澤縣,sam1 zaak6 jyun6
1,一團漆黑,jat1 tyun4 cat1 hak1
,沙粉,saa1 fan2
1,罵罵咧咧,maa6 maa6 le4 le4
,胡芫,wu4 jyun4
1,穿曬大窿,
,該先,goi1 sin1
1,開鎖匠,hoi1 so2 zoeng6
,收馬,sau1 maa5
,裏海地鴉,leoi5 hoi2 dei6 aa1
1*,馳龍科,ci4 lung4 fo1
,譚生,
,三芝鄉,saam1 zi1 hoeng1
,非盟,fei1 mang4
1,髮型顧問,
1,冷水機組,laang5 seoi2 gei1 zou2
,阿難陀,aa3 naan4 to4
,鹹絲絲兒,haam4 si1 si1 ji4
,認人兒,jing6 jan4 ji4
,福田實驗,
1,踢唔喐,
1,營巢,jing4 caau4
1,駁腳經紀,bok3 goek3 ging1 gei2
,旭輝副食,
1,亂車,lyun6 ce1
,錦屏縣,gam2 ping4 jyun6
1,衹限,
,馬頭琴,maa5 tau4 kam4
1*,大體相當,
1,變型蟲,
1,轄制,hat6 zai3
,仁棯,ngan4 nim1
1,水旱災害,
1,狗毛氈,gau2 mou4 zin1
1,爛生,laan6 saang1
1,只爭旦夕,zi2 zang1 daan3 zik6
1*,立糯,laap6 no6
,永定裏,
,徛門槧,kei5 mun4 caan5
1,燒到埋嚟,
1,根鬚,gan1 sou1
1,月俸,jyut6 fung2
1*,出嚟趁,ceot1 lai4 can3
1,遠東豹,jyun5 dung1 paau3
1,有輛,
1,貨卡,fo3 kaa1
1,欠收自補,
1,車陂路口,
1,慢慢講啦,
,順慶區,seon6 hing3 keoi1
,海涅,hoi2 nip6
,楦子,hyun3 zi2
,江州區,gong1 zau1 keoi1
1,你次次,
1,擝實,mang1 sat6
1*,水菸袋,seoi2 jin1 doi2
,晴好,cing4 hou2
1,我頂不順,
,墨玉縣,mak6 juk6 jyun6
,張家港,zoeng1 gaa1 gong2
1,看做,hon3 zou6
,龍潭溝,lung4 taam4 kau1
1,負擔過重,
1*,咁狼毒,
1,你驚我會,
1,人頭獅身,jan4 tau4 si1 san1
1,睬佢都戇,
,千味,
1,職分,zik1 fan6
,㗲㗲,waak1 waak1
1,正一衰仔,
,扼襟控咽,aak1 kam1 hung3 jin1
1,三面體,saam1 min6 tai2
1,盯著,
1,無千無萬,mou4 cin1 mou4 maan6
1,燶飯,
1,揞到實,
1*,仁弟,jan4 dai6
1,畀咩,
1,碰硬,
1,十角,sap6 gok3
,像元,zoeng6 jyun4
,成發美味,
1*,高舉遠蹈,gou1 geoi2 jyun5 dou6
,屠伯,tou4 baak3
1*,危險曲線,
1,愛勞動,
1,唔啱食,
,五柳魚,ng5 lau5 jyu2
,業師,jip6 si1
1*,眠牀,
1,綜合指標,
,皮衲,pei2 naap6
